                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.4046,                 4.4449,                 1.8032,                      1,                0.08144,                0.22054,                 0.0819,                 2.0452,                 4.6899,                  1.503,             0.00054609,             0.00054609,             0.00054609
                      1,                 2.1462,                 3.0452,                  1.692,                0.40983,                0.49782,                0.42859,                0.13182,                 2.2738,                 3.2045,                 1.8134,              0.0010581,              0.0010581,              0.0010581
                      2,                 2.1238,                 2.5566,                 1.6374,                0.68858,                0.60196,                0.64621,                0.23585,                 2.1577,                 2.7798,                  1.741,              0.0015262,              0.0015262,              0.0015262
                      3,                 2.0973,                 2.2245,                 1.6374,                0.72114,                0.62981,                0.65972,                 0.2364,                 2.0834,                 2.4522,                 1.6949,               0.001469,               0.001469,               0.001469
                      4,                 2.0961,                 1.9661,                 1.6523,                0.69086,                0.68974,                0.70365,                0.27216,                 2.0732,                 1.7859,                  1.675,               0.001469,               0.001469,               0.001469
                      5,                 2.0337,                 1.7796,                 1.6023,                0.55581,                0.60962,                0.63611,                0.24189,                 2.0709,                 1.8453,                 1.6598,              0.0014029,              0.0014029,              0.0014029
                      6,                 2.0013,                 1.6513,                  1.597,                0.78428,                0.72767,                0.80782,                0.31597,                 2.0375,                 1.4813,                 1.6129,              0.0013369,              0.0013369,              0.0013369
                      7,                 2.0035,                 1.5777,                 1.6019,                0.72995,                0.71028,                0.76938,                0.31585,                 2.0522,                 1.5875,                 1.6801,              0.0012709,              0.0012709,              0.0012709
                      8,                 1.9891,                 1.4913,                 1.5774,                 0.8348,                0.71065,                 0.7911,                0.29862,                 2.0713,                   1.46,                 1.6165,              0.0012049,              0.0012049,              0.0012049
                      9,                  1.928,                 1.3722,                 1.5448,                 0.7834,                0.76497,                0.81347,                0.33518,                 2.0202,                 1.2959,                 1.5801,              0.0011389,              0.0011389,              0.0011389
                     10,                 1.8994,                 1.3731,                 1.5276,                0.79169,                0.75301,                0.80372,                0.33283,                 2.0139,                 1.5161,                 1.6169,              0.0010729,              0.0010729,              0.0010729
                     11,                 1.9066,                 1.3301,                 1.5252,                0.87302,                0.78342,                0.85814,                0.34809,                 1.9872,                 1.1931,                 1.5984,              0.0010069,              0.0010069,              0.0010069
                     12,                 1.8866,                  1.265,                 1.5297,                0.80355,                0.80271,                0.83031,                0.35968,                 1.9667,                 1.2637,                 1.5968,             0.00094085,             0.00094085,             0.00094085
                     13,                 1.8939,                 1.2772,                 1.5219,                0.81351,                0.81409,                0.82417,                0.33084,                 1.9975,                 1.2087,                 1.5843,             0.00087484,             0.00087484,             0.00087484
                     14,                 1.8267,                 1.2097,                 1.4774,                0.81723,                0.81079,                0.83661,                0.33762,                 2.0185,                 1.1418,                  1.627,             0.00080883,             0.00080883,             0.00080883
                     15,                 1.8328,                 1.1662,                 1.5266,                0.86829,                0.81204,                0.87296,                0.38528,                 1.9285,                 1.1233,                 1.5746,             0.00074282,             0.00074282,             0.00074282
                     16,                 1.8106,                 1.0966,                 1.5447,                0.84654,                0.82991,                0.87136,                0.35728,                 1.9693,                 1.1554,                 1.5942,              0.0006768,              0.0006768,              0.0006768
                     17,                 1.8015,                 1.0756,                 1.5162,                0.89038,                0.81425,                0.87525,                0.38346,                 1.9127,                 1.0852,                 1.5548,             0.00061079,             0.00061079,             0.00061079
                     18,                 1.7807,                 1.0328,                   1.51,                0.87151,                0.83852,                  0.886,                0.39321,                 1.8913,                 1.0445,                 1.5348,             0.00054478,             0.00054478,             0.00054478
                     19,                 1.7468,                0.96004,                 1.4846,                0.90055,                0.85738,                  0.897,                0.38507,                 1.9709,                  1.031,                 1.5842,             0.00047876,             0.00047876,             0.00047876
                     20,                 1.7175,                0.94487,                 1.4654,                0.88114,                0.85627,                0.88264,                0.38793,                 1.9135,                 1.0637,                 1.5495,             0.00041275,             0.00041275,             0.00041275
                     21,                 1.6982,                0.92887,                  1.453,                0.88936,                0.84631,                0.89917,                0.40173,                 1.9011,                 1.0018,                 1.5282,             0.00034674,             0.00034674,             0.00034674
                     22,                  1.671,                0.90715,                 1.4388,                0.89327,                0.87567,                0.88573,                0.39451,                 1.9158,                0.98006,                 1.5552,             0.00028072,             0.00028072,             0.00028072
                     23,                 1.6682,                0.88299,                 1.4265,                0.88935,                 0.8461,                0.88863,                0.40861,                 1.9186,                0.95421,                 1.5384,             0.00021471,             0.00021471,             0.00021471
                     24,                 1.6406,                0.85995,                 1.4144,                0.89238,                0.83677,                0.89274,                0.40966,                 1.9102,                0.94183,                 1.5293,              0.0001487,              0.0001487,              0.0001487
